     1.000000    0.001050
     0.987099    0.002546
     0.960812    0.005524
     0.930407    0.008853
     0.899141    0.012153
     0.867733    0.015350
     0.836288    0.018437
     0.804825    0.021413
     0.773348    0.024280
     0.741863    0.027038
     0.710376    0.029685
     0.678890    0.032218
     0.647411    0.034631
     0.615943    0.036919
     0.584493    0.039073
     0.553066    0.041082
     0.521669    0.042935
     0.490308    0.044618
     0.458990    0.046114
     0.427726    0.047403
     0.396525    0.048465
     0.365400    0.049273
     0.334367    0.049800
     0.303446    0.050012
     0.272663    0.049870
     0.242054    0.049328
     0.211668    0.048333
     0.181582    0.046818
     0.151916    0.044704
     0.122883    0.041895
     0.094935    0.038292
     0.069118    0.033879
     0.047410    0.028956
     0.031384    0.024153
     0.020398    0.019845
     0.012830    0.015978
     0.007489    0.012365
     0.003734    0.008834
     0.001303    0.005276
     0.000135    0.001718
     0.000135   -0.001718
     0.001303   -0.005276
     0.003734   -0.008833
     0.007489   -0.012365
     0.012830   -0.015978
     0.020398   -0.019845
     0.031385   -0.024153
     0.047409   -0.028956
     0.069118   -0.033879
     0.094935   -0.038292
     0.122883   -0.041895
     0.151915   -0.044704
     0.181582   -0.046818
     0.211668   -0.048333
     0.242054   -0.049328
     0.272663   -0.049870
     0.303446   -0.050012
     0.334367   -0.049800
     0.365400   -0.049273
     0.396525   -0.048465
     0.427726   -0.047403
     0.458990   -0.046114
     0.490308   -0.044618
     0.521669   -0.042935
     0.553066   -0.041082
     0.584493   -0.039073
     0.615943   -0.036919
     0.647411   -0.034631
     0.678890   -0.032218
     0.710376   -0.029685
     0.741864   -0.027038
     0.773348   -0.024280
     0.804825   -0.021413
     0.836289   -0.018436
     0.867733   -0.015350
     0.899141   -0.012153
     0.930407   -0.008853
     0.960812   -0.005524
     0.987099   -0.002546
     1.000000   -0.001050
